Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
86,base_setup,diff,-67.88e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,
87,base_setup,diff,244.4e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,
88,base_setup,diff,4.725e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8",,,,,,
89,base_setup,diff,-171.7e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=0",,,,,,
90,base_setup,diff,-243.8e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=1.8",,,,,,
91,base_setup,diff,68.28e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=0",,,,,,
92,base_setup,diff,-4.725e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,
93,base_setup,diff,0,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0",,,,,,
94,base_setup,diff,-239.9e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8",,,,,,
95,base_setup,diff,240.1e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=0",,,,,,
96,base_setup,diff,111e-18,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,
97,base_setup,diff,-111e-18,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,
98,base_setup,diff,-72.6e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,
99,base_setup,diff,72.07e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,
100,base_setup,diff,111e-18,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,
101,base_setup,diff,170.7e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,
102,base_setup,diff,-68.04e-3,,,
