Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-157.9e-3,,-34.22e-3,-73.1e-3,39.5e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.17e-3,,97.42e-3,70.8e-3,18.41e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.38e-3,,5.456e-3,-1.435e-3,5.463e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),11.99e-3,,217.3e-3,162e-3,57.23e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-154.9e-3,,-29.9e-3,-68.68e-3,39.7e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),158.7e-3,,282.6e-3,233.7e-3,41.99e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-8.049e-3,,11.06e-3,3.056e-3,6.008e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-291.8e-3,,-120.2e-3,-176.4e-3,53.37e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-341.7e-3,,-189.9e-3,-248.2e-3,47.55e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),34.2e-3,,93.85e-3,66.14e-3,18.68e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.51e-3,,773.1e-6,-6.191e-3,5.312e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-172.8e-3,,64.73e-3,-13.45e-3,67.17e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-339.3e-3,,-186.8e-3,-244.2e-3,47.81e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),153.8e-3,,279.3e-3,229.2e-3,42.19e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-13.73e-3,,6.091e-3,-1.84e-3,6.006e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-108.1e-3,,32.2e-3,-942.8e-6,42.34e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-158.5e-3,,-33.61e-3,-72.88e-3,39.79e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),38.97e-3,,98.12e-3,70.65e-3,18.33e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.22e-3,,5.581e-3,-1.401e-3,5.411e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),14.75e-3,,230.6e-3,164.4e-3,59.54e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-155.4e-3,,-28.93e-3,-68.48e-3,40.09e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),161.9e-3,,310.8e-3,235.9e-3,40.94e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-8.005e-3,,10.26e-3,3.138e-3,5.811e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-314.9e-3,,-123.3e-3,-172.8e-3,61.99e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-365e-3,,-191.5e-3,-244.8e-3,56.84e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),33.47e-3,,94.38e-3,66.14e-3,18.67e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.93e-3,,1.367e-3,-6.105e-3,5.507e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-192.6e-3,,85.91e-3,-7.625e-3,78.9e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-362.4e-3,,-188e-3,-240.6e-3,57.3e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),156.5e-3,,307.2e-3,231.6e-3,41.32e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-13.72e-3,,6.067e-3,-1.586e-3,6e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-107.6e-3,,32.1e-3,-842e-6,42.15e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-158.6e-3,,-33.7e-3,-73.04e-3,39.79e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.15e-3,,97.9e-3,70.84e-3,18.35e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.19e-3,,5.483e-3,-1.379e-3,5.399e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),11.77e-3,,217.3e-3,163.7e-3,56.96e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-155.6e-3,,-28.94e-3,-68.52e-3,40.11e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),159e-3,,297.7e-3,235.2e-3,38.91e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=0,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-8.061e-3,,10.08e-3,3.171e-3,5.833e-3,,0
