Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=14",,,,,,
134,base_setup,diff,-44.76e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=15",,,,,,
135,base_setup,diff,-83.59e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=16",,,,,,
136,base_setup,diff,60.77e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=17",,,,,,
137,base_setup,diff,68.58e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=18",,,,,,
138,base_setup,diff,76.52e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=19",,,,,,
139,base_setup,diff,-21.63e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=20",,,,,,
140,base_setup,diff,-111.1e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=21",,,,,,
141,base_setup,diff,125.1e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=22",,,,,,
142,base_setup,diff,-79.75e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=23",,,,,,
143,base_setup,diff,60.2e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=24",,,,,,
144,base_setup,diff,-42.83e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=25",,,,,,
145,base_setup,diff,-66.65e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=26",,,,,,
146,base_setup,diff,77.72e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=27",,,,,,
147,base_setup,diff,-66.82e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=28",,,,,,
148,base_setup,diff,-25.6e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=29",,,,,,
149,base_setup,diff,58.54e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=30",,,,,,
150,base_setup,diff,-22.38e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8, mc_iteration=1",,,,,,
151,base_setup,diff,48.08e-3,,,
