,,Parameter,Nominal,,,,,,temp_0,temp_1,temp_2
,,temperature,27,,,,,,-40,25,125

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,temp_0,temp_1,temp_2
67,base_setup,diff,-21.62e-3,,,,-25.95e-3,-15.6e-3,-25.95e-3,-21.75e-3,-15.6e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
68,base_setup,diff,26.11e-3,,,,24.91e-3,27.12e-3,27.12e-3,26.14e-3,24.91e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
69,base_setup,diff,3.203e-3,,,,-4.076e-3,13.79e-3,-4.076e-3,2.985e-3,13.79e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
70,base_setup,diff,51.73e-3,,,,49.72e-3,55.12e-3,49.72e-3,51.67e-3,55.12e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
71,base_setup,diff,-65.91e-3,,,,-74.92e-3,-55.03e-3,-74.92e-3,-66.15e-3,-55.03e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,
72,base_setup,diff,-17.62e-3,,,,-21.27e-3,-13.95e-3,-21.27e-3,-17.7e-3,-13.95e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=0, ch7=0",,,,,,,,,,,
73,base_setup,diff,76.08e-3,,,,75.96e-3,76.1e-3,76.1e-3,76.08e-3,75.96e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
74,base_setup,diff,124.2e-3,,,,117.1e-3,128.9e-3,128.9e-3,124.3e-3,117.1e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
75,base_setup,diff,8.378e-3,,,,8.04e-3,8.55e-3,8.55e-3,8.383e-3,8.04e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
76,base_setup,diff,56.74e-3,,,,49.11e-3,62.12e-3,62.12e-3,56.9e-3,49.11e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
77,base_setup,diff,33.54e-3,,,,31.12e-3,37.53e-3,31.12e-3,33.46e-3,37.53e-3
